City,State,Population
Twin Falls city, Idaho,54943
Chicopee city, Massachusetts,54838
West Haven city, Connecticut,54790
Plainfield city, New Jersey,54670
Lincoln city, California,54538
Berwyn city, Illinois,54414
Wake Forest town, North Carolina,54337
Mount Prospect village, Illinois,54298
Rocky Mount city, North Carolina,54245
Arcadia city, California,54157
Peabody city, Massachusetts,54056
Kentwood city, Michigan,53987
Yucaipa city, California,53947
Tinley Park village, Illinois,53886
Pensacola city, Florida,53724
Mooresville town, North Carolina,53721
Manhattan city, Kansas,53682
Elkhart city, Indiana,53484
Pinellas Park city, Florida,53456
Methuen Town city, Massachusetts,53455
Colton city, California,53357
Edina city, Minnesota,53348
Galveston city, Texas,53237
Elyria city, Ohio,53117
Joplin city, Missouri,53095
Wheaton city, Illinois,52938
Rockwall city, Texas,52918
Grand Island city, Nebraska,52622
Normal town, Illinois,52618
Saratoga Springs city, Utah,52532
Minnetonka city, Minnesota,52463
Cathedral City city, California,52356
Placentia city, California,52192
Battle Creek city, Michigan,52175
Oak Park village, Illinois,52055
Diamond Bar city, California,52041
Palm Desert city, California,51951
Huntington Park city, California,51942
Summerville town, South Carolina,51884
Novato city, California,51722
Dunwoody city, Georgia,51713
Columbus city, Indiana,51522
Delano city, California,51500
Middletown city, Ohio,51478
La Crosse city, Wisconsin,51327
Collierville town, Tennessee,51317
Jeffersonville city, Indiana,51235
Florissant city, Missouri,51128
Harrisonburg city, Virginia,51082
Paramount city, California,51072
Newark city, Ohio,51046
Grapevine city, Texas,50928
Watsonville city, California,50867
Mishawaka city, Indiana,50842
West New York town, New Jersey,50754
Cuyahoga Falls city, Ohio,50742
Burien city, Washington,50730
Troy city, New York,50607
Enid city, Oklahoma,50577
Milford city (balance), Connecticut,50421
Gallatin city, Tennessee,50355
Everett city, Massachusetts,50318
Aliso Viejo city, California,50263
Bothell city, Washington,50213
Hoffman Estates village, Illinois,50179
Prescott Valley town, Arizona,50045
Harrisburg city, Pennsylvania,50012
Glendora city, California,49934
Barnstable Town city, Massachusetts,49709
Downers Grove village, Illinois,49706
St. Louis Park city, Minnesota,49697
Sheboygan city, Wisconsin,49686
Titusville city, Florida,49680
Draper city, Utah,49602
Murray city, Utah,49553
Stillwater city, Oklahoma,49525
Fort Pierce city, Florida,49374
Lakewood city, Ohio,49337
Leesburg town, Virginia,49312
Rosemead city, California,49305
Portage city, Michigan,49302
Ocoee city, Florida,49261
Goose Creek city, South Carolina,49249
San Luis Obispo city, California,49244
Lawrence city, Indiana,49235
Chesterfield city, Missouri,49166
Cleveland city, Tennessee,49086
Dublin city, Ohio,48923
Cypress city, California,48782
Covina city, California,48728
Clermont city, Florida,48621
Los Banos city, California,48553
Huntsville city, Texas,48552
East Lansing city, Michigan,48528
Brea city, California,48479
Hattiesburg city, Mississippi,48414
Cedar Hill city, Texas,48411
Ceres city, California,48397
Bedford city, Texas,48370
Coral Gables city, Florida,48353
Oro Valley town, Arizona,48311
Azusa city, California,48272
Biloxi city, Mississippi,48235
Euclid city, Ohio,48212
Lebanon city, Tennessee,48112
Poway city, California,48051
Middletown city, Connecticut,47984
Wilson city, North Carolina,47833
Prescott city, Arizona,47757
Mansfield city, Ohio,47711
Niagara Falls city, New York,47599
Wentzville city, Missouri,47497
Sherman city, Texas,47473
Plainfield village, Illinois,47448
Columbia city, Tennessee,47445
Minot city, North Dakota,47373
Winter Garden city, Florida,47294
Gainesville city, Georgia,47265
Waxahachie city, Texas,47201
Beavercreek city, Ohio,47193
Shakopee city, Minnesota,47158
Roswell city, New Mexico,47109
Wauwatosa city, Wisconsin,47038
Olive Branch city, Mississippi,47029
Newark city, California,46929
Mentor city, Ohio,46929
Glenview village, Illinois,46904
East Providence city, Rhode Island,46900
Charleston city, West Virginia,46838
Cerritos city, California,46797
Urbandale city, Iowa,46729
Binghamton city, New York,46727
Roseville city, Michigan,46666
Attleboro city, Massachusetts,46654
Monroe city, Louisiana,46616
Keller city, Texas,46316
Holly Springs town, North Carolina,46271
Farmington city, New Mexico,46237
Rancho Santa Margarita city, California,46182
Salina city, Kansas,45792
Oakley city, California,45761
Mankato city, Minnesota,45742
Hackensack city, New Jersey,45736
Spanish Fork city, Utah,45557
Strongsville city, Ohio,45511
La Mirada city, California,45505
Sayreville borough, New Jersey,45496
Blacksburg town, Virginia,45485
The Colony city, Texas,45471
Bremerton city, Washington,45450
Elmhurst city, Illinois,45336
Huntington city, West Virginia,45325
Haltom City city, Texas,45290
Brentwood city, Tennessee,45265
Altamonte Springs city, Florida,45257
Palm Springs city, California,45218
Moorhead city, Minnesota,45202
Delaware city, Ohio,45158
Charlottesville city, Virginia,44983
Newnan city, Georgia,44940
York city, Pennsylvania,44867
Riverton city, Utah,44854
West Lafayette city, Indiana,44829
Post Falls city, Idaho,44798
North Lauderdale city, Florida,44784
Salem city, Massachusetts,44744
Hollister city, California,44658
Concord city, New Hampshire,44629
Rohnert Park city, California,44546
Burlington city, Vermont,44528
Morgan Hill city, California,44478
Littleton city, Colorado,44451
